:384:Adams, Michael:Nogueiras, Jesus:0:
:385:Adams, Michael:Fedorowicz, John P:0:
:386:Panno, Oscar:Adams, Michael:0:
:387:Kaidanov, Grigory S:Adams, Michael:0:
:388:Adams, Michael:Cohen, A.:1:
:389:Lisenko, Alexander V:Adams, Michael:-1:
:390:Adams, Michael:Flear, Glenn C:1:
:391:Adams, Michael:Howell, James C:0:
:392:Adams, Michael:Ziatdinov, Raset:1:
:393:Conquest, Stuart:Adams, Michael:-1:
:394:Short, Philip M:Adams, Michael:0:
:395:Hodgson, Julian M:Adams, Michael:0:
:396:Adams, Michael:Watson, William N:0:
:397:Adams, Michael:Short, Nigel D:1:
:398:Speelman, Jonathan S:Adams, Michael:0:
:399:Watson, William N:Adams, Michael:0:
:400:Short, Nigel D:Adams, Michael:1:
:401:Adams, Michael:Speelman, Jonathan S:1:
:402:Adams, Michael:Short, Nigel D:0:
:403:Watson, William N:Adams, Michael:-1:
:404:Adams, Michael:Watson, William N:0:
:405:Short, Nigel D:Adams, Michael:0:
:406:Short, Nigel D:Adams, Michael:1:
:407:Adams, Michael:Short, Nigel D:-1:
:408:Armas, Iulius:Adams, Michael:1:
:409:Dufrenoy, M.:Adams, Michael:0:
:410:Pinter, Jozsef:Adams, Michael:0:
:411:Neidhardt, Claus Ulrich:Adams, Michael:-1:
:412:Adams, Michael:Hebden, Mark:1:
:413:Adams, Michael:Adrian, Claude:1:
:414:Adams, Michael:Ivkov, Borislav:1:
:415:Bareev, Evgeny:Adams, Michael:1:
:416:Adams, Michael:Suetin, Alexey S:1:
:417:Chandler, Murray G:Adams, Michael:-1:
:418:Adams, Michael:Speelman, Jonathan S:0:
:419:Agdestein, Simen:Adams, Michael:0:
:420:Adams, Michael:Shirov, Alexei:0:
:421:Hodgson, Julian M:Adams, Michael:0:
:422:Adams, Michael:Bareev, Evgeny:-1:
:423:Suetin, Alexey S:Adams, Michael:-1:
:424:Adams, Michael:Chandler, Murray G:-1:
:425:Speelman, Jonathan S:Adams, Michael:-1:
:426:Adams, Michael:Agdestein, Simen:-1:
:427:Shirov, Alexei:Adams, Michael:1:
:428:Adams, Michael:Hodgson, Julian M:1:
:429:Safranska, Anda:Adams, Michael:-1:
:430:Adams, Michael:Agnos, Demetrios:1:
:431:Zilberman, Yaacov:Adams, Michael:-1:
:432:Adams, Michael:Anastasian, Ashot:0:
:433:Ernst, Thomas:Adams, Michael:1:
:434:Adams, Michael:McDonald, Neil R:1:
:435:Timoshchenko, Gennadi A:Adams, Michael:-1:
:436:Adams, Michael:Shabalov, Alexander:0:
:437:Murshed, Niaz:Adams, Michael:0:
:438:Adams, Michael:Emms, John M:1:
:439:Adams, Michael:Vanhul, C.:1:
:440:Winterstein, Wolfgang:Adams, Michael:-1:
:441:Adams, Michael:Berg, Klaus:1:
:442:Bosboom, Manuel:Adams, Michael:-1:
:443:Adams, Michael:Kuzmin, Alexey:-1:
:444:Gurevich, Mikhail:Adams, Michael:-1:
:445:Adams, Michael:Kovalev, Andrei:1:
:446:Mainka, Romuald:Adams, Michael:-1:
:447:Adams, Michael:Schmittdiel, Eckhard:0:
:448:Jackson, Oliver:Adams, Michael:-1:
:449:Hebden, Mark:Adams, Michael:-1:
:450:Littlewood, Paul E:Adams, Michael:-1:
:451:Adams, Michael:Pein, Malcolm:1:
:452:Adams, Michael:Littlewood, Paul E:1:
:453:Adams, Michael:Littlewood, Paul E:1:
:454:Ehlvest, Jaan:Adams, Michael:-1:
:455:Adams, Michael:Boensch, Uwe:0:
:456:Illescas Cordoba, Miguel:Adams, Michael:0:
:457:Adams, Michael:Pomes Marcet, Juan:1:
:458:Epishin, Vladimir:Adams, Michael:0:
:459:Ivanchuk, Vassily:Adams, Michael:-1:
:460:Adams, Michael:Garcia Ilundain, David:1:
:461:Romanishin, Oleg M:Adams, Michael:0:
:462:Adams, Michael:Lautier, Joel:0:
:463:Adams, Michael:Van der Wiel, John TH:1:
:464:Lautier, Joel:Adams, Michael:-1:
:465:Adams, Michael:Sokolov, Ivan:-1:
:466:Chernin, Alexander:Adams, Michael:0:
:467:Adams, Michael:Seirawan, Yasser:0:
:468:Olafsson, Helgi:Adams, Michael:0:
:469:Adams, Michael:Hansen, Curt:1:
:470:Adams, Michael:Kozul, Zdenko:1:
:471:Fedorowicz, John P:Adams, Michael:0:
:472:Adams, Michael:Piket, Jeroen:-1:
:473:Khalifman, Alexander:Adams, Michael:0:
:474:Adams, Michael:Salov, Valery:1:
:475:Nunn, John DM:Adams, Michael:0:
:476:Short, Nigel D:Adams, Michael:0:
:477:Adams, Michael:Lobron, Eric:1:
:478:Nunn, John DM:Adams, Michael:-1:
:479:Speelman, Jonathan S:Adams, Michael:0:
:480:Lobron, Eric:Adams, Michael:1:
:481:Anand, Viswanathan:Adams, Michael:-1:
:482:Adams, Michael:Speelman, Jonathan S:0:
:483:Adams, Michael:Short, Nigel D:1:
:484:Adams, Michael:Nunn, John DM:0:
:485:Adams, Michael:Lobron, Eric:1:
:486:Adams, Michael:Anand, Viswanathan:0:
:487:Speelman, Jonathan S:Adams, Michael:-1:
:488:Lobron, Eric:Adams, Michael:-1:
